name,id,duration_ms_x,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms_y,time_signature,end_of_fade_in,start_of_fade_out,analysis_sample_rate,error
Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,167903,False,90,0.632,0.595,8.0,-7.644,0.0,0.0401,0.0689,0.0,0.209,0.435,124.114,audio_features,spotify:track:6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,167903.0,4.0,0.0,164.94295,22050,
What's Love Got to Do with It,3Be7CLdHZpyzsVijme39cW,208156,False,80,0.75,0.664,8.0,-5.908,0.0,0.154,0.275,0.0,0.0632,0.617,105.023,audio_features,spotify:track:3Be7CLdHZpyzsVijme39cW,https://api.spotify.com/v1/tracks/3Be7CLdHZpyzsVijme39cW,https://api.spotify.com/v1/audio-analysis/3Be7CLdHZpyzsVijme39cW,208156.0,4.0,0.17941,200.16762,22050,
All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,238458,False,72,0.513,0.788,0.0,-4.629,1.0,0.0364,0.00968,0.0,0.11,0.234,139.987,audio_features,spotify:track:4Gcv5SsxnQWpmOnUI19EJk,https://api.spotify.com/v1/tracks/4Gcv5SsxnQWpmOnUI19EJk,https://api.spotify.com/v1/audio-analysis/4Gcv5SsxnQWpmOnUI19EJk,238459.0,4.0,3.70939,230.09235,22050,
Dreamers,1MF0hyC0NLN0IcI4FpQKYl,181935,False,50,0.78,0.808,7.0,-4.913,1.0,0.0451,0.0428,0.000168,0.0497,0.651,123.977,audio_features,spotify:track:1MF0hyC0NLN0IcI4FpQKYl,https://api.spotify.com/v1/tracks/1MF0hyC0NLN0IcI4FpQKYl,https://api.spotify.com/v1/audio-analysis/1MF0hyC0NLN0IcI4FpQKYl,181935.0,4.0,0.47596,177.35982,22050,
Big Love (with Wrabel),0PGpWcKIlayTwPdz6Qstol,182115,False,57,0.483,0.761,8.0,-7.15,0.0,0.111,0.0418,0.0,0.158,0.478,124.068,audio_features,spotify:track:0PGpWcKIlayTwPdz6Qstol,https://api.spotify.com/v1/tracks/0PGpWcKIlayTwPdz6Qstol,https://api.spotify.com/v1/audio-analysis/0PGpWcKIlayTwPdz6Qstol,182116.0,4.0,2.17107,176.52971,22050,
We Found Love,1Sv3dxMJxj5gDybSzjxn48,205714,False,51,0.528,0.92,10.0,-3.056,0.0,0.0957,0.037,0.00427,0.364,0.439,126.029,audio_features,spotify:track:1Sv3dxMJxj5gDybSzjxn48,https://api.spotify.com/v1/tracks/1Sv3dxMJxj5gDybSzjxn48,https://api.spotify.com/v1/audio-analysis/1Sv3dxMJxj5gDybSzjxn48,205714.0,4.0,0.0,200.53333,22050,
I'll Wait,6Q3K9gVUZRMZqZKrXovbM2,215360,False,75,0.611,0.651,1.0,-6.973,1.0,0.0587,0.148,1.84e-05,0.105,0.357,122.983,audio_features,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,https://api.spotify.com/v1/tracks/6Q3K9gVUZRMZqZKrXovbM2,https://api.spotify.com/v1/audio-analysis/6Q3K9gVUZRMZqZKrXovbM2,215361.0,4.0,0.2317,210.37859,22050,
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,230761,False,73,0.414,0.486,6.0,-6.431,0.0,0.0311,0.0129,0.0,0.111,0.368,128.038,audio_features,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,230762.0,4.0,3.959,220.02068,22050,
Good Guys,4lIg6U4wRqnhJUrLojwVh1,175000,False,45,0.609,0.918,1.0,-3.116,1.0,0.0969,0.00147,0.0,0.33,0.625,124.023,audio_features,spotify:track:4lIg6U4wRqnhJUrLojwVh1,https://api.spotify.com/v1/tracks/4lIg6U4wRqnhJUrLojwVh1,https://api.spotify.com/v1/audio-analysis/4lIg6U4wRqnhJUrLojwVh1,175000.0,4.0,0.35415,170.62022,22050,
Lost with You,73gVOooT9hkJZ3DgVMFmGT,165047,False,64,0.668,0.877,4.0,-6.14,0.0,0.0705,0.0925,8.97e-06,0.203,0.637,111.971,audio_features,spotify:track:73gVOooT9hkJZ3DgVMFmGT,https://api.spotify.com/v1/tracks/73gVOooT9hkJZ3DgVMFmGT,https://api.spotify.com/v1/audio-analysis/73gVOooT9hkJZ3DgVMFmGT,165047.0,4.0,0.0,161.95918,22050,
Higher Love,6oJ6le65B3SEqPwMRNXWjY,228267,False,82,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,audio_features,spotify:track:6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/tracks/6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/audio-analysis/6oJ6le65B3SEqPwMRNXWjY,228267.0,4.0,0.20313,222.22658,22050,
Letters,21te7Pz3VowOuFho1nfdR0,191000,False,62,0.634,0.771,7.0,-7.727,1.0,0.0394,0.00855,0.0,0.29,0.575,121.984,audio_features,spotify:track:21te7Pz3VowOuFho1nfdR0,https://api.spotify.com/v1/tracks/21te7Pz3VowOuFho1nfdR0,https://api.spotify.com/v1/audio-analysis/21te7Pz3VowOuFho1nfdR0,191000.0,4.0,0.0,186.195,22050,
Breathe - Dimitri Vangelis & Wyman Remix,2sqGeBzroZlz9d0AZgoQ3B,198948,False,50,0.517,0.683,7.0,-3.867,0.0,0.073,0.0215,1.6e-06,0.0954,0.15,128.151,audio_features,spotify:track:2sqGeBzroZlz9d0AZgoQ3B,https://api.spotify.com/v1/tracks/2sqGeBzroZlz9d0AZgoQ3B,https://api.spotify.com/v1/audio-analysis/2sqGeBzroZlz9d0AZgoQ3B,198949.0,4.0,0.0,188.59247,22050,
The Answer (featuring Arthur Baker & Victor Simonelli),5whiPPRn248jYANBCMzQoB,203720,False,65,0.728,0.898,10.0,-4.652,0.0,0.125,0.0433,0.0536,0.261,0.502,125.974,audio_features,spotify:track:5whiPPRn248jYANBCMzQoB,https://api.spotify.com/v1/tracks/5whiPPRn248jYANBCMzQoB,https://api.spotify.com/v1/audio-analysis/5whiPPRn248jYANBCMzQoB,203720.0,4.0,0.0,196.86458,22050,
Dancing on Your Own,6JleyZldNFQxcwBL3LgF95,145161,False,54,0.774,0.809,0.0,-6.393,1.0,0.0464,0.249,0.0,0.136,0.519,123.97,audio_features,spotify:track:6JleyZldNFQxcwBL3LgF95,https://api.spotify.com/v1/tracks/6JleyZldNFQxcwBL3LgF95,https://api.spotify.com/v1/audio-analysis/6JleyZldNFQxcwBL3LgF95,145161.0,4.0,2.57161,140.03955,22050,
In Control - Sotschi Remix,7HksIl28vSyYGRG6mLufDa,173333,False,48,0.833,0.846,7.0,-6.651,1.0,0.0913,0.00271,5.17e-06,0.0772,0.634,126.038,audio_features,spotify:track:7HksIl28vSyYGRG6mLufDa,https://api.spotify.com/v1/tracks/7HksIl28vSyYGRG6mLufDa,https://api.spotify.com/v1/audio-analysis/7HksIl28vSyYGRG6mLufDa,173333.0,4.0,2.5542,168.69878,22050,
